start,end,location_id
19867648,19867903,449908
19867904,19900671,209
19900672,19900927,449906
19900928,19901183,209
19901184,19901439,24914
19901440,19922943,209
19922944,20054015,104137
20054016,20119551,104211
20119552,20131839,37634
20131840,20133887,104055
20133888,20156415,37634
20156416,20160511,59532
20160512,20164607,37634
20164608,20168703,33494
20168704,20185087,59532
20185088,20185088,381358
20185089,20189183,46418
20189184,20205567,231
20205568,20209663,46418
20209664,20214015,231
20214016,20214271,105591
20214272,20214783,231
20214784,20215039,105591
20215040,20226559,231
20226560,20226815,105591
20226816,20246527,231
20246528,20250623,46418
20250624,20253183,231
20253184,20253439,105591
20253440,20253695,231
20253696,20254207,105591
20254208,20254719,231
20254720,20255743,46418
20255744,20255999,105591
20256000,20256511,46418
20256512,20256767,105591
20256768,20257279,46418
20257280,20257535,105591
20257536,20258815,46418
20258816,20260095,231
20260096,20260351,105591
20260352,20262911,231
20262912,20263167,46418
20263168,20263423,105591
20263424,20267775,46418
20267776,20268287,105591
20268288,20270079,46418
20270080,20270335,105591
20270336,20271103,46418
20271104,20275711,231
20275712,20275967,105591
20275968,20279295,231
20279296,20287487,46418
20287488,20291583,231
20291584,20293119,46418
20293120,20293631,105591
20293632,20295679,46418
20295680,20301055,231
20301056,20301311,105591
20301312,20303871,231
20303872,20307967,46418
20307968,20308991,105591
20308992,20309247,231
20309248,20309759,105591
20309760,20312063,231
20312064,20318719,46418
20318720,20318975,105591
20318976,20319487,46418
20319488,20319743,105591
20319744,20321279,46418
20321280,20322303,105591
20322304,20323071,46418
20323072,20323327,105591
20323328,20331007,46418
20331008,20331263,105591
20331264,20334591,46418
20334592,20335103,105591
20335104,20336895,46418
20336896,20337151,105591
20337152,20337407,46418
20337408,20337919,105591
20337920,20340735,46418
20340736,20340991,376845
20340992,20343807,46418
20343808,20344063,105591
20344064,20344831,46418
20344832,20345087,105591
20345088,20345343,46418
20345344,20345599,105591
20345600,20346367,46418
20346368,20346623,105591
20346624,20349439,46418
20349440,20349695,105591
20349696,20352511,46418
20352512,20352767,105591
20352768,20353535,46418
20353536,20353791,105591
20353792,20357631,46418
20357632,20357887,105591
20357888,20360191,46418
20360192,20360447,105591
20360448,20369663,46418
20369664,20369919,105591
20369920,20376575,46418
20376576,20376831,105591
20376832,20378367,46418
20378368,20378623,105591
20378624,20381695,46418
20381696,20381919,231
20381920,20381920,46418
20381921,20382463,231
20382464,20382719,46418
20382720,20384255,231
20384256,20384511,46418
20384512,20389887,231
20389888,20390655,46418
20390656,20390911,401275
20390912,20393983,46418
20393984,20394751,231
20394752,20395007,46418
20395008,20396287,231
20396288,20396799,46418
20396800,20398079,231
20398080,20414463,46418
20414464,20416255,231
20416256,20416511,46418
20416512,20422655,231
20422656,20426751,46418
20426752,20427007,231
20427008,20427135,46418
20427136,20428543,231
20428544,20428799,46418
20428800,20430847,231
20430848,20439039,46418
20439040,20443135,231
20443136,20447231,46418
20447232,20587007,104006
20587008,20587263,336642
20587264,20971519,104006
20971520,20972543,14416
20972544,20972799,109133
20972800,20973823,14416
20973824,20974079,21240
20974080,20974335,14416
20974336,20974591,23794
20974592,20976639,14416
20976640,20977151,21240
20977152,20978943,14416
20978944,20979199,109508
20979200,20982527,14416
20982528,20982783,108173
20982784,20983295,23625
20983296,20983679,14416
20983680,20983807,23625
20983808,20984575,14416
20984576,20984831,108183
20984832,20985087,24079
20985088,20985343,33752
20985344,20985855,14416
20985856,20985983,108183
20985984,20986111,24079
20986112,20997375,14416
20997376,20997631,33008
20997632,20998143,14416
20998144,20998399,108172
20998400,20998655,14416
20998656,20998911,21240
20998912,21009151,14416
21009152,21009407,107327
21009408,21014015,14416
21014016,21014271,32377
21014272,21015039,14416
21015040,21015295,25389
21015296,21015551,14416
21015552,21015807,24079
21015808,21019903,14416
21019904,21020159,32377
21020160,21021439,14416
21021440,21021567,108194
21021568,21024767,14416
21024768,21025023,21240
21025024,21027839,14416
21027840,21028095,21240
21028096,21032959,14416
21032960,21033215,104166
21033216,21036543,14416
21036544,21036671,24079
21036672,21036799,157918
21036800,21037055,52455
21037056,21102591,14416
21102592,21233663,14614
21233664,21495807,336604
21495808,21498111,14614
21498112,21498367,34320
21498368,21524735,14614
21524736,21524991,47665
21524992,21542911,14614
21542912,21543167,65878
